"","Date","X1","Player","#","Nation","Pos","Min","Tkl","TklW","Def 3rd","Mid 3rd","Att 3rd","Tkl.1","Att","Tkl%","Past","Press","Succ","%","Def 3rd.1","Mid 3rd.1","Att 3rd.1","Blocks","Sh","ShSv","Pass","Int","Clr","Err","Team","Opponent","X32","game_week"
"27","1/1/20",5606,"Matt Doherty",2,"ie IRL","WB",90,2,1,0,1,1,1,2,50,1,13,6,46.2,8,4,1,3,1,0,2,0,0,0,"Wolves","Watford",NA,21
"28","1/1/20",5607,"Romain Saiss",27,"ma MAR","CB",90,3,2,2,1,0,2,4,50,2,10,6,60,4,4,2,2,0,0,2,3,5,0,"Wolves","Watford",NA,21
"29","1/1/20",5608,"Conor Coady",16,"eng ENG","CB",90,3,0,2,1,0,3,3,100,0,9,2,22.2,7,2,0,2,1,0,1,1,2,0,"Wolves","Watford",NA,21
"30","1/1/20",5609,"Ryan Bennett",5,"eng ENG","CB",53,0,0,0,0,0,0,0,NA,0,5,2,40,4,1,0,1,1,0,0,0,2,0,"Wolves","Watford",NA,21
"31","1/1/20",5610,"Ruben Neves",8,"pt POR","DM",37,0,0,0,0,0,0,1,0,1,4,1,25,0,3,1,1,1,0,0,0,0,0,"Wolves","Watford",NA,21
"32","1/1/20",5611,"Rui PatrÃ­cio",11,"pt POR","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Wolves","Watford",NA,21
"33","1/1/20",5612,"Sebastien Haller",22,"fr FRA","FW",90,0,0,0,0,0,0,1,0,1,33,8,24.2,1,12,20,0,0,0,0,0,0,0,"West Ham","Bournemouth",NA,21
"34","1/1/20",5613,"Felipe Anderson",8,"br BRA","AM",67,1,1,0,1,0,0,1,0,1,27,6,22.2,2,17,8,1,0,0,1,2,0,0,"West Ham","Bournemouth",NA,21
"35","1/1/20",5614,"Manuel Lanzini",10,"ar ARG","AM",23,0,0,0,0,0,0,0,NA,0,7,1,14.3,0,6,1,0,0,0,0,0,0,0,"West Ham","Bournemouth",NA,21
"36","1/1/20",5615,"Pablo Fornals",18,"es ESP","CM",90,1,1,1,0,0,0,1,0,1,35,7,20,6,19,10,3,0,0,3,2,1,0,"West Ham","Bournemouth",NA,21
"37","1/1/20",5616,"Mark Noble",16,"eng ENG","CM",90,4,3,1,3,0,0,2,0,2,22,5,22.7,9,10,3,1,0,0,1,2,0,0,"West Ham","Bournemouth",NA,21
"38","1/1/20",5617,"Robert Snodgrass",11,"sco SCO","CM",82,0,0,0,0,0,0,2,0,2,27,6,22.2,7,12,8,2,0,0,2,0,1,0,"West Ham","Bournemouth",NA,21
"39","1/1/20",5618,"Arthur Masuaku",26,"cd COD","CM",8,0,0,0,0,0,0,0,NA,0,3,0,0,0,2,1,0,0,0,0,0,0,0,"West Ham","Bournemouth",NA,21
"40","1/1/20",5619,"Declan Rice",41,"eng ENG","DM",90,5,4,2,3,0,1,4,25,3,29,9,31,6,20,3,2,0,0,2,0,0,0,"West Ham","Bournemouth",NA,21
"41","1/1/20",5620,"Aaron Cresswell",3,"eng ENG","LB",90,2,2,2,0,0,2,4,50,2,14,2,14.3,6,5,3,2,0,0,2,0,4,0,"West Ham","Bournemouth",NA,21
"42","1/1/20",5621,"Angelo Ogbonna",21,"it ITA","CB",90,3,3,1,2,0,2,4,50,2,17,10,58.8,12,4,1,2,0,0,2,1,8,0,"West Ham","Bournemouth",NA,21
"43","1/1/20",5622,"Fabian Balbuena",4,"py PAR","CB",90,1,1,1,0,0,0,0,NA,0,9,5,55.6,7,1,1,0,0,0,0,1,7,0,"West Ham","Bournemouth",NA,21
"44","1/1/20",5623,"Ryan Fredericks",24,"eng ENG","RB",90,4,2,4,0,0,1,1,100,0,14,4,28.6,7,4,3,0,0,0,0,1,3,0,"West Ham","Bournemouth",NA,21
"45","1/1/20",5624,"Åukasz FabiaÅski",1,"pl POL","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"West Ham","Bournemouth",NA,21
"46","1/1/20",5625,"Callum Wilson",13,"eng ENG","FW",90,0,0,0,0,0,0,0,NA,0,32,10,31.3,3,16,13,1,0,0,1,0,1,0,"Bournemouth","West Ham",NA,21
"47","1/1/20",5626,"Dominic Solanke",9,"eng ENG","FW,LW",90,2,2,0,2,0,1,2,50,1,33,12,36.4,4,23,6,0,0,0,0,0,1,0,"Bournemouth","West Ham",NA,21
"48","1/1/20",5627,"Harry Wilson",22,"wal WAL","RW,CM",45,1,0,0,1,0,1,2,50,1,11,3,27.3,6,5,0,1,0,0,1,0,0,0,"Bournemouth","West Ham",NA,21
"49","1/1/20",5628,"Ryan Fraser",24,"sco SCO","CM,LB,WB",45,0,0,0,0,0,0,0,NA,0,12,3,25,5,5,2,0,0,0,0,0,0,0,"Bournemouth","West Ham",NA,21
"50","1/1/20",5629,"Dan Gosling",4,"eng ENG","CM",67,2,1,0,1,1,0,1,0,1,25,6,24,5,13,7,1,0,0,1,1,1,0,"Bournemouth","West Ham",NA,21
"51","1/1/20",5630,"Jack Simpson",25,"eng ENG","LB,CM",23,0,0,0,0,0,0,1,0,1,7,1,14.3,1,5,1,0,0,0,0,0,0,0,"Bournemouth","West Ham",NA,21
"52","1/1/20",5631,"Lewis Cook",16,"eng ENG","CM",90,5,3,4,0,1,3,4,75,1,22,10,45.5,9,9,4,2,1,0,1,2,0,0,"Bournemouth","West Ham",NA,21
"53","1/1/20",5632,"Jefferson Lerma",8,"co COL","CM,DM",90,6,2,2,4,0,2,2,100,0,32,9,28.1,13,17,2,1,0,0,1,0,3,0,"Bournemouth","West Ham",NA,21
"54","1/1/20",5633,"Diego Rico",21,"es ESP","LB",45,2,2,2,0,0,1,3,33.3,2,15,6,40,11,1,3,2,0,0,2,0,0,0,"Bournemouth","West Ham",NA,21
"55","1/1/20",5634,"Junior Stanislas",19,"eng ENG","CM,WB",45,1,1,0,1,0,0,0,NA,0,10,2,20,4,6,0,0,0,0,0,0,0,0,"Bournemouth","West Ham",NA,21
"56","1/1/20",5635,"Chris Mepham",33,"wal WAL","CB",90,3,2,0,3,0,1,2,50,1,17,8,47.1,8,9,0,2,2,0,0,2,3,0,"Bournemouth","West Ham",NA,21
"57","1/1/20",5636,"Steve Cook",3,"eng ENG","CB",90,1,0,1,0,0,1,2,50,1,13,3,23.1,10,2,1,1,0,0,1,0,5,0,"Bournemouth","West Ham",NA,21
"58","1/1/20",5637,"Simon Francis",2,"eng ENG","RB,CB",90,2,1,1,1,0,1,1,100,0,21,4,19,11,6,4,3,1,0,2,0,5,0,"Bournemouth","West Ham",NA,21
"59","1/1/20",5638,"Aaron Ramsdale",12,"eng ENG","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Bournemouth","West Ham",NA,21
"60","1/1/20",5639,"Gabriel Jesus",9,"br BRA","FW",90,1,1,0,0,1,1,4,25,3,27,8,29.6,0,5,22,2,1,0,1,0,1,0,"Manchester City","Everton",NA,21
"61","1/1/20",5640,"Phil Foden",47,"eng ENG","AM",82,2,1,0,2,0,1,3,33.3,2,39,12,30.8,1,17,21,3,0,0,3,1,1,0,"Manchester City","Everton",NA,21
"62","1/1/20",5641,"David Silva",21,"es ESP","AM",8,0,0,0,0,0,0,0,NA,0,3,1,33.3,1,1,1,1,0,0,1,0,0,0,"Manchester City","Everton",NA,21
"63","1/1/20",5642,"Riyad Mahrez",26,"dz ALG","AM",89,0,0,0,0,0,0,0,NA,0,11,2,18.2,0,3,8,2,0,0,2,1,1,0,"Manchester City","Everton",NA,21
"64","1/1/20",5643,"Raheem Sterling",7,"eng ENG","AM",1,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Manchester City","Everton",NA,21
"65","1/1/20",5644,"Ilkay Gundogan",8,"de GER","CM",90,1,0,0,1,0,0,1,0,1,16,7,43.8,6,10,0,7,0,0,7,3,2,0,"Manchester City","Everton",NA,21
"66","1/1/20",5645,"Kevin De Bruyne",17,"be BEL","CM",90,0,0,0,0,0,0,1,0,1,11,4,36.4,4,7,0,1,0,0,1,2,2,0,"Manchester City","Everton",NA,21
"67","1/1/20",5646,"Benjamin Mendy",22,"fr FRA","WB",90,1,1,1,0,0,1,2,50,1,6,3,50,1,3,2,1,1,0,0,1,1,0,"Manchester City","Everton",NA,21
"68","1/1/20",5647,"Joao Cancelo",27,"pt POR","WB",90,2,1,0,2,0,0,1,0,1,11,6,54.5,2,3,6,1,0,0,1,1,3,0,"Manchester City","Everton",NA,21
"69","1/1/20",5648,"Eric Garcia",50,"es ESP","CB",90,1,0,0,1,0,0,0,NA,0,11,3,27.3,4,7,0,3,0,0,3,4,4,0,"Manchester City","Everton",NA,21
"70","1/1/20",5649,"Fernandinho",25,"br BRA","CB",90,5,4,4,1,0,2,2,100,0,3,0,0,2,1,0,1,0,0,1,1,8,0,"Manchester City","Everton",NA,21
"71","1/1/20",5650,"Rodrigo",16,"es ESP","CB",90,0,0,0,0,0,0,0,NA,0,4,2,50,0,4,0,0,0,0,0,1,4,0,"Manchester City","Everton",NA,21
"72","1/1/20",5651,"Claudio Bravo",1,"cl CHI","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,"Manchester City","Everton",NA,21
"73","1/1/20",5531,"Yoshinori Muto",13,"jp JPN","RW",90,2,2,0,2,0,0,0,NA,0,19,5,26.3,3,11,5,0,0,0,0,0,0,0,"Newcastle Utd","Leicester City",NA,21
"74","1/1/20",5532,"Jonjo Shelvey",8,"eng ENG","CM",45,0,0,0,0,0,0,1,0,1,10,4,40,2,7,1,0,0,0,0,1,0,0,"Newcastle Utd","Leicester City",NA,21
"75","1/1/20",5533,"Sean Longstaff",36,"eng ENG","CM",45,2,1,1,1,0,0,0,NA,0,20,6,30,13,4,3,3,0,0,3,0,0,0,"Newcastle Utd","Leicester City",NA,21
"76","1/1/20",5534,"Isaac Hayden",14,"eng ENG","CM",90,2,2,1,1,0,0,0,NA,0,12,7,58.3,7,4,1,0,0,0,0,2,2,0,"Newcastle Utd","Leicester City",NA,21
"77","1/1/20",5535,"Jetro Willems",15,"nl NED","WB",44,2,2,1,1,0,0,0,NA,0,10,7,70,4,5,1,0,0,0,0,1,2,0,"Newcastle Utd","Leicester City",NA,21
"78","1/1/20",5536,"DeAndre Yedlin",22,"us USA","WB",46,1,1,1,0,0,0,0,NA,0,9,3,33.3,6,0,3,1,0,0,1,0,0,0,"Newcastle Utd","Leicester City",NA,21
"79","1/1/20",5537,"Javier Manquillo",19,"es ESP","WB",44,0,0,0,0,0,0,1,0,1,4,1,25,3,1,0,2,0,0,2,1,2,0,"Newcastle Utd","Leicester City",NA,21
"80","1/1/20",5538,"Emil Krafth",17,"se SWE","WB",46,1,1,0,0,1,0,0,NA,0,8,3,37.5,6,1,1,0,0,0,0,1,1,0,"Newcastle Utd","Leicester City",NA,21
"81","1/1/20",5539,"Florian Lejeune",20,"fr FRA","CB",90,1,1,0,1,0,1,1,100,0,10,4,40,6,3,1,2,0,0,2,3,5,1,"Newcastle Utd","Leicester City",NA,21
"82","1/1/20",5540,"Federico Fernandez",18,"ar ARG","CB",90,3,1,3,0,0,2,3,66.7,1,12,1,8.3,10,2,0,3,2,0,1,0,4,0,"Newcastle Utd","Leicester City",NA,21
"83","1/1/20",5541,"Fabian Schar",5,"ch SUI","CB",90,0,0,0,0,0,0,2,0,2,4,0,0,4,0,0,2,1,0,1,0,2,0,"Newcastle Utd","Leicester City",NA,21
"84","1/1/20",5542,"Martin DÃºbravka",1,"sk SVK","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Newcastle Utd","Leicester City",NA,21
"85","1/1/20",5543,"Ayoze Perez",17,"es ESP","FW",90,1,0,0,1,0,0,0,NA,0,19,5,26.3,1,8,10,1,0,0,1,0,0,0,"Leicester City","Newcastle Utd",NA,21
"86","1/1/20",5544,"Kelechi Iheanacho",14,"ng NGA","FW",62,0,0,0,0,0,0,0,NA,0,4,1,25,1,1,2,0,0,0,0,0,0,0,"Leicester City","Newcastle Utd",NA,21
"87","1/1/20",5545,"Demarai Gray",7,"eng ENG","FW",28,0,0,0,0,0,0,0,NA,0,2,1,50,0,1,1,0,0,0,0,0,0,0,"Leicester City","Newcastle Utd",NA,21
"88","1/1/20",5546,"James Maddison",10,"eng ENG","CM",76,1,1,0,1,0,0,3,0,3,10,4,40,3,6,1,0,0,0,0,0,0,0,"Leicester City","Newcastle Utd",NA,21
"89","1/1/20",5547,"Hamza Choudhury",20,"eng ENG","CM",14,0,0,0,0,0,0,0,NA,0,2,1,50,0,1,1,0,0,0,0,0,0,0,"Leicester City","Newcastle Utd",NA,21
"90","1/1/20",5548,"Youri Tielemans",8,"be BEL","CM",90,2,0,1,1,0,0,1,0,1,16,3,18.8,3,8,5,0,0,0,0,1,0,0,"Leicester City","Newcastle Utd",NA,21
"91","1/1/20",5549,"Wilfred Ndidi",25,"ng NGA","DM",90,0,0,0,0,0,0,4,0,4,17,9,52.9,1,11,5,2,0,0,2,5,5,0,"Leicester City","Newcastle Utd",NA,21
"92","1/1/20",5550,"Ben Chilwell",3,"eng ENG","WB",90,1,0,0,1,0,1,1,100,0,8,2,25,4,2,2,1,0,0,1,3,2,0,"Leicester City","Newcastle Utd",NA,21
"93","1/1/20",5551,"Ricardo Pereira",21,"pt POR","WB",90,5,1,1,1,3,2,3,66.7,1,19,4,21.1,4,4,11,2,0,0,2,2,0,0,"Leicester City","Newcastle Utd",NA,21
"94","1/1/20",5552,"Christian Fuchs",28,"at AUT","CB",90,2,2,2,0,0,0,0,NA,0,6,5,83.3,5,1,0,2,0,0,2,4,5,0,"Leicester City","Newcastle Utd",NA,21
"95","1/1/20",5553,"Jonny Evans",6,"nir NIR","CB",83,2,2,1,1,0,0,0,NA,0,5,3,60,4,1,0,1,1,0,0,0,4,0,"Leicester City","Newcastle Utd",NA,21
"96","1/1/20",5554,"Wes Morgan",5,"jm JAM","CB",7,1,1,0,1,0,0,0,NA,0,1,1,100,0,1,0,0,0,0,0,0,2,0,"Leicester City","Newcastle Utd",NA,21
"97","1/1/20",5555,"Caglar Soyuncu",4,"tr TUR","CB",90,1,1,0,1,0,1,2,50,1,7,4,57.1,5,2,0,1,0,0,1,1,4,0,"Leicester City","Newcastle Utd",NA,21
"98","1/1/20",5556,"Kasper Schmeichel",1,"dk DEN","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Leicester City","Newcastle Utd",NA,21
"99","1/1/20",5557,"Nathan Redmond",22,"eng ENG","FW,CM",90,0,0,0,0,0,0,2,0,2,27,6,22.2,2,16,9,1,1,0,0,1,3,0,"Southampton","Tottenham",NA,21
"100","1/1/20",5558,"Danny Ings",9,"eng ENG","FW",75,1,0,0,0,1,0,2,0,2,30,8,26.7,3,15,12,4,0,0,4,1,1,0,"Southampton","Tottenham",NA,21
"101","1/1/20",5559,"Michael Obafemi",20,"ie IRL","FW",15,0,0,0,0,0,0,0,NA,0,5,1,20,1,4,0,0,0,0,0,0,0,0,"Southampton","Tottenham",NA,21
"102","1/1/20",5560,"Moussa Djenepo",12,"ml MLI","CM",57,1,0,0,0,1,0,3,0,3,21,7,33.3,5,13,3,2,1,0,1,0,1,0,"Southampton","Tottenham",NA,21
"103","1/1/20",5561,"Shane Long",7,"ie IRL","FW",33,1,1,0,1,0,0,0,NA,0,10,4,40,1,5,4,0,0,0,0,1,2,0,"Southampton","Tottenham",NA,21
"104","1/1/20",5562,"Stuart Armstrong",17,"sco SCO","CM",89,1,0,1,0,0,0,2,0,2,25,10,40,5,12,8,0,0,0,0,0,2,0,"Southampton","Tottenham",NA,21
"105","1/1/20",5563,"Oriol Romeu",14,"es ESP","CM",1,0,0,0,0,0,0,0,NA,0,2,1,50,2,0,0,1,0,0,1,0,0,0,"Southampton","Tottenham",NA,21
"106","1/1/20",5564,"Pierre-Emile Hojbjerg",23,"dk DEN","DM",90,2,2,0,2,0,0,3,0,3,20,7,35,6,12,2,0,0,0,0,3,3,0,"Southampton","Tottenham",NA,21
"107","1/1/20",5565,"James Ward-Prowse",16,"eng ENG","DM",90,12,5,3,8,1,6,7,85.7,1,37,14,37.8,9,26,2,1,0,0,1,0,2,0,"Southampton","Tottenham",NA,21
"108","1/1/20",5566,"Ryan Bertrand",21,"eng ENG","LB",90,1,1,0,1,0,1,4,25,3,19,4,21.1,3,10,6,3,2,0,1,0,2,0,"Southampton","Tottenham",NA,21
"109","1/1/20",5567,"Jan Bednarek",35,"pl POL","CB",90,1,1,1,0,0,1,4,25,3,11,1,9.1,5,6,0,1,1,0,0,3,8,0,"Southampton","Tottenham",NA,21
"110","1/1/20",5568,"Jack Stephens",5,"eng ENG","CB",90,4,4,3,1,0,1,2,50,1,9,8,88.9,3,6,0,1,0,0,1,2,8,0,"Southampton","Tottenham",NA,21
"111","1/1/20",5569,"Cedric Soares",2,"pt POR","RB",90,3,0,1,2,0,0,3,0,3,14,7,50,4,10,0,0,0,0,0,1,6,0,"Southampton","Tottenham",NA,21
"112","1/1/20",5570,"Alex McCarthy",1,"eng ENG","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Southampton","Tottenham",NA,21
"113","1/1/20",5571,"Harry Kane",10,"eng ENG","FW",74,0,0,0,0,0,0,0,NA,0,10,1,10,1,6,3,0,0,0,0,0,0,0,"Tottenham","Southampton",NA,21
"114","1/1/20",5572,"Erik Lamela",11,"ar ARG","AM",16,3,3,0,2,1,1,1,100,0,4,2,50,1,1,2,0,0,0,0,0,0,0,"Tottenham","Southampton",NA,21
"115","1/1/20",5573,"Lucas Moura",27,"br BRA","AM",90,0,0,0,0,0,0,1,0,1,21,10,47.6,4,11,6,2,1,0,1,1,0,0,"Tottenham","Southampton",NA,21
"116","1/1/20",5574,"Dele Alli",20,"eng ENG","AM,FW",90,1,1,0,1,0,1,1,100,0,22,8,36.4,2,11,9,1,0,0,1,0,0,0,"Tottenham","Southampton",NA,21
"117","1/1/20",5575,"Christian Eriksen",23,"dk DEN","CM",90,2,0,2,0,0,1,2,50,1,16,7,43.8,7,8,1,0,0,0,0,0,1,0,"Tottenham","Southampton",NA,21
"118","1/1/20",5576,"Moussa Sissoko",17,"fr FRA","DM,CM",90,5,5,3,2,0,2,3,66.7,1,14,10,71.4,5,8,1,0,0,0,0,0,4,0,"Tottenham","Southampton",NA,21
"119","1/1/20",5577,"Tanguy Ndombele",28,"fr FRA","DM",24,1,1,0,1,0,1,1,100,0,3,2,66.7,1,2,0,1,0,0,1,2,0,0,"Tottenham","Southampton",NA,21
"120","1/1/20",5578,"Giovani Lo Celso",18,"ar ARG","CM",66,2,0,0,2,0,1,3,33.3,2,21,11,52.4,11,9,1,1,1,0,0,0,2,0,"Tottenham","Southampton",NA,21
"121","1/1/20",5579,"Ryan Sessegnon",19,"eng ENG","LB",90,3,0,1,2,0,1,1,100,0,8,4,50,4,3,1,1,0,0,1,0,7,0,"Tottenham","Southampton",NA,21
"122","1/1/20",5580,"Jan Vertonghen",5,"be BEL","CB",90,3,2,2,0,1,3,3,100,0,12,4,33.3,9,2,1,1,1,0,0,2,16,0,"Tottenham","Southampton",NA,21
"123","1/1/20",5581,"Toby Alderweireld",4,"be BEL","CB",90,2,1,2,0,0,0,2,0,2,16,8,50,12,3,1,4,1,0,3,0,10,0,"Tottenham","Southampton",NA,21
"124","1/1/20",5582,"Serge Aurier",24,"ci CIV","RB",90,2,1,2,0,0,2,3,66.7,1,17,7,41.2,7,9,1,3,1,0,2,0,5,0,"Tottenham","Southampton",NA,21
"125","1/1/20",5583,"Paulo Gazzaniga",22,"ar ARG","GK",90,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Tottenham","Southampton",NA,21
"126","1/1/20",5584,"Troy Deeney",9,"eng ENG","FW,AM",90,0,0,0,0,0,0,0,NA,0,27,5,18.5,4,10,13,1,0,0,1,0,1,0,"Watford","Wolves",NA,21
"127","1/1/20",5585,"Gerard Deulofeu",7,"es ESP","LW",72,2,1,2,0,0,1,7,14.3,6,26,9,34.6,14,7,5,0,0,0,0,0,0,0,"Watford","Wolves",NA,21
"128","1/1/20",5586,"Adam Masina",11,"it ITA","RB",18,1,1,1,0,0,1,2,50,1,2,2,100,2,0,0,1,1,0,0,1,4,0,"Watford","Wolves",NA,21
"129","1/1/20",5587,"Ismaila Sarr",23,"sn SEN","RW,CM",89,0,0,0,0,0,0,2,0,2,24,5,20.8,14,5,5,0,0,0,0,1,1,0,"Watford","Wolves",NA,21
"130","1/1/20",5588,"Roberto Pereyra",37,"ar ARG","CM",1,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Watford","Wolves",NA,21
"131","1/1/20",5589,"Abdoulaye Doucoure",16,"fr FRA","AM,DM",90,1,1,1,0,0,0,2,0,2,30,4,13.3,14,10,6,4,2,0,2,0,1,0,"Watford","Wolves",NA,21
"132","1/1/20",5590,"Etienne Capoue",29,"fr FRA","DM",90,1,1,1,0,0,1,2,50,1,25,2,8,11,14,0,1,0,0,1,1,5,0,"Watford","Wolves",NA,21
"133","1/1/20",5591,"Nathaniel Chalobah",14,"eng ENG","DM,CM",90,3,2,2,1,0,2,5,40,3,16,5,31.3,11,5,0,1,0,0,1,3,6,0,"Watford","Wolves",NA,21
"134","1/1/20",5592,"Kiko Femenia",21,"es ESP","LB",59,1,0,1,0,0,1,1,100,0,10,3,30,6,3,1,0,0,0,0,1,1,0,"Watford","Wolves",NA,21
"135","1/1/20",5593,"Jose Holebas",25,"gr GRE","LB",31,1,0,1,0,0,0,4,0,4,8,3,37.5,7,1,0,1,1,0,0,0,4,0,"Watford","Wolves",NA,21
"136","1/1/20",5594,"Craig Cathcart",15,"nir NIR","CB",90,1,1,0,1,0,0,0,NA,0,2,1,50,1,1,0,0,0,0,0,1,9,0,"Watford","Wolves",NA,21
"137","1/1/20",5595,"Christian Kabasele",27,"be BEL","CB,FW",70,2,1,2,0,0,1,1,100,0,7,2,28.6,4,3,0,2,1,0,1,1,3,0,"Watford","Wolves",NA,21
